ms,hall,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
6720,1,4054,-139,9055,23,-3706,-232
6716,1,4065,-151,8941,10,-3703,-243
6712,1,4077,-247,8866,5,-3703,-241
6664,1,4123,-328,8770,14,-3701,-231
6708,1,4182,-336,8609,26,-3690,-221
6712,1,4229,-315,8436,37,-3690,-221
6712,1,4249,-183,8354,36,-3686,-219
6724,1,4252,-131,8289,25,-3685,-221
6708,1,4248,-71,8169,14,-3681,-232
6672,1,4301,-163,8104,5,-3680,-238
6668,1,4260,-227,7998,10,-3676,-231
6716,1,4288,-275,7888,18,-3676,-229
6720,1,4313,-257,7734,35,-3674,-220
6712,1,4329,-175,7965,23,-3252,-197
6716,1,4304,-150,7899,22,-3245,-201
6708,1,4341,-132,7783,15,-3238,-201
6716,1,4314,-158,7687,11,-3236,-205
6712,1,4322,-195,7593,12,-3236,-203
6716,1,4329,-219,7514,19,-3230,-200
6712,1,4316,-201,7425,27,-3232,-194
6716,1,4305,-157,7302,27,-3226,-198
6720,1,4293,-97,7205,25,-3223,-199
6664,1,4272,-71,7135,14,-3222,-197
6672,1,4277,-146,7023,13,-3221,-201
6708,1,4236,-182,6973,10,-3217,-201
6712,1,4206,-207,6826,19,-3216,-200
6708,1,4210,-167,6744,21,-3213,-198
6720,1,4193,-112,6637,22,-3211,-200
6712,1,4152,-95,6546,18,-3207,-202
6672,1,4113,-90,6467,14,-3205,-205
6664,1,4081,-151,6358,12,-3204,-201
6716,1,4094,-158,6285,16,-3198,-199
6720,1,4063,-134,6211,23,-3199,-201
6708,1,4009,-117,6109,23,-3197,-199
6708,1,3975,-66,5993,19,-3194,-196
6664,1,3935,-47,5912,17,-3190,-196
6664,1,3878,-37,5815,12,-3191,-199
6668,1,3856,-113,5746,12,-3186,-200
6720,1,3800,-139,5664,17,-3184,-196
6712,1,3790,-128,5609,23,-3179,-198
6720,1,3719,-90,5518,29,-3176,-202
6664,1,3663,-63,5423,24,-3176,-199
6676,1,3609,-4,5339,17,-3169,-194
6620,1,3562,-11,5279,10,-3165,-197
6672,1,3536,-135,5212,9,-3165,-195
6664,1,3434,-76,5122,10,-3163,-193
6672,1,3367,-100,5070,21,-3155,-197
6720,1,3316,-82,4989,23,-3156,-198
6664,1,3248,-48,4893,23,-3153,-196
6672,1,3206,16,4873,16,-3147,-199
6660,1,3134,-6,4765,15,-3148,-196
6632,1,3055,-28,4695,14,-3148,-193
6668,1,2988,-59,4673,11,-3145,-193
6668,1,2934,-86,4611,20,-3143,-194
6668,1,2857,-11,4511,23,-3140,-200
6664,1,2797,-16,4464,22,-3135,-203
6664,1,2714,-8,4419,20,-3136,-197
6624,1,2642,61,4321,12,-3129,-189
6656,1,2603,-8,4319,10,-3126,-190
6632,1,2517,-119,4224,15,-3127,-193
6712,1,2420,-80,4176,23,-3122,-198
